allele_accession_id,effect_size,life_stage_name,marker_symbol,mp_term_name,p_value,parameter_name,parameter_stable_id,phenotyping_center,statistical_method,top_level_mp_term_name
MGI:6156347,0.438556763285024,Late adult,Tm4sf5,abnormal skin coloration,5.32947545622208e-05,Skin color - whole body,KMPCLA_CSD_056_001,KMPC,Fisher Exact Test framework,['integument phenotype']
MGI:6120719,1.0,E15.5,Phgdh,microphthalmia,0.0,Microphthalmia,IMPC_GEO_047_002,KMPC,Supplied as data,['vision/eye phenotype']
MGI:5896365,-1.79605255499549,Late adult,Aanat,hyperactivity,5.80877226009774e-05,Whole arena resting time,KMPCLA_OFD_007_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6120719,1.0,E18.5,Phgdh,prenatal lethality,0.0,Outcome,IMPC_EVP_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:6336121,1.0,E12.5,Idh3a,embryonic lethality prior to tooth bud stage,0.0,Outcome,IMPC_EVM_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:6156285,,Early adult,Emd,increased circulating phosphate level,7.6998810660811e-07,Phosphorus,IMPC_CBC_010_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:6336143,1.0,E12.5,Tmem17,abnormal eye morphology,0.0,Eye Morphology,IMPC_GEM_041_001,KMPC,Supplied as data,['vision/eye phenotype']
MGI:6156298,2.39555811352372,Early adult,Klf4,decreased grip strength,4.90888479434082e-05,Forelimb and hindlimb grip strength normalised against body weight,IMPC_GRS_011_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6336109,-0.474823015744177,Early adult,Ak4,decreased bone mineral content,7.28124909944506e-06,Bone Mineral Content (excluding skull),IMPC_DXA_005_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['skeleton phenotype']
MGI:6729666,1.87312347993821,Late adult,Zfp746,increased total body fat amount,2.56254681899716e-06,Fat/Body weight,KMPCLA_DXA_009_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['adipose tissue phenotype']
MGI:6378717,1.0,Late adult,Mreg,abnormal lymph node morphology,0.0,Lymph node,KMPCLA_PAT_020_002,KMPC,Supplied as data,['immune system phenotype']
MGI:6341960,2.4426163428418,Early adult,Krt32,increased hemoglobin content,1.06848350684768e-05,Hemoglobin,IMPC_HEM_003_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['hematopoietic system phenotype']
MGI:6194941,1.0,Late adult,Tmem86a,abnormal lymph node morphology,0.0,Lymph node,KMPCLA_PAT_020_002,KMPC,Supplied as data,['immune system phenotype']
MGI:7425738,1.0,Early adult,Hdac2,"preweaning lethality, complete penetrance",0.0,Homozygous animals viability,IMPC_VIA_067_001,KMPC,Supplied as data,['mortality/aging']
MGI:6336120,2.38590380197897,Early adult,Gna14,abnormal cholesterol homeostasis,1.71082914674835e-05,Cholesterol ratio,IMPC_CBC_058_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:6156345,1.0,E9.5,Romo1,pale yolk sac,0.0,Pale yolk sac,IMPC_GEL_017_002,KMPC,Supplied as data,['embryo phenotype']
MGI:6156326,2.87159677771983,Early adult,Lingo2,increased lean body mass,9.82077310249223e-07,Lean mass,IMPC_DXA_003_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['growth/size/body region phenotype']
MGI:5776369,,Early adult,Asb2,abnormal retina blood vessel morphology,6.35821685080024e-06,Retinal Blood Vessels Pattern,IMPC_EYE_026_001,KMPC,Fisher Exact Test framework,"['vision/eye phenotype', 'cardiovascular system phenotype']"
MGI:6336142,1.0,Late adult,Ldaf1,abnormal duodenum morphology,0.0,Small intestine,KMPCLA_PAT_013_002,KMPC,Supplied as data,['digestive/alimentary phenotype']
MGI:6336108,,Late adult,Afg1l,abnormal coat/ hair morphology,9.0963307612258e-06,Coat - hair distribution - back,KMPCLA_CSD_011_001,KMPC,Fisher Exact Test framework,['integument phenotype']
MGI:6156274,2.40151936336697,Early adult,Cav3,increased circulating LDL cholesterol level,8.65996304055816e-05,LDL-cholesterol,IMPC_CBC_025_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:6120719,1.0,E9.5,Phgdh,abnormal vitelline vasculature morphology,0.0,Vitelline vasculature morphology,IMPC_GEL_015_001,KMPC,Supplied as data,"['embryo phenotype', 'cardiovascular system phenotype']"
MGI:6336115,0.27018111149898,Early adult,Dapl1,decreased bone mineral content,4.00469102657119e-05,BMC/Body weight,IMPC_DXA_007_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['skeleton phenotype']
MGI:6156342,1.16313939760615,Early adult,Pald1,increased prepulse inhibition,7.99033042211406e-05,% Pre-pulse inhibition - Global,IMPC_ACS_037_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['nervous system phenotype']
MGI:6120719,-1.43126468986673,Early adult,Phgdh,decreased respiratory quotient,2.25404391833971e-05,Respiratory Exchange Ratio,IMPC_CAL_017_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:6336125,1.4783263535882,Early adult,Nrsn2,increased circulating phosphate level,5.64557334625647e-06,Phosphorus,IMPC_CBC_010_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:6156326,1.0,Late adult,Lingo2,abnormal liver morphology,0.0,Liver,KMPCLA_PAT_010_002,KMPC,Supplied as data,['liver/biliary system phenotype']
MGI:6156274,1.0,Late adult,Cav3,abnormal seminal vesicle morphology,0.0,Seminal vesicle,KMPCLA_PAT_027_002,KMPC,Supplied as data,"['reproductive system phenotype', 'endocrine/exocrine gland phenotype']"
MGI:6336136,1.0,E18.5,Stmn2,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6336133,1.52911535772363,Early adult,Sdk1,hyperactivity,2.11089206168366e-05,Whole arena average speed,IMPC_OFD_009_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6336109,2.14757267842186,Late adult,Ak4,hyperactivity,6.79441644102496e-06,Whole arena average speed,KMPCLA_OFD_009_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6336112,1.0,E18.5,Cep128,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:5776369,20.7763375142053,Early adult,Asb2,increased Ly6C-positive immature NK cell number,1.69031449125959e-23,NK Subsets (Q1),IMPC_IMM_054_001,KMPC,"Linear Mixed Model framework, LME, not including Weight","['immune system phenotype', 'hematopoietic system phenotype']"
MGI:6156335,-1.06169627979083,Early adult,Myc,decreased prepulse inhibition,7.4803888923336e-05,% Pre-pulse inhibition - PPI3,IMPC_ACS_035_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['nervous system phenotype']
MGI:6336148,,Early adult,Tspan13,increased grip strength,7.62243570071244e-05,Forelimb grip strength normalised against body weight,IMPC_GRS_010_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6454973,1.0,E18.5,Cyb5b,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6241474,2.23600410723703,Late adult,Erap1,hyperactivity,9.17307101592402e-05,Whole arena average speed,KMPCLA_OFD_009_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6160166,1.0,Late adult,E2f3,abnormal jejunum morphology,0.0,Small intestine,KMPCLA_PAT_013_002,KMPC,Supplied as data,['digestive/alimentary phenotype']
MGI:6336142,2.39214800711238,Early adult,Ldaf1,hyperactivity,5.39024043761891e-05,Distance travelled - total,IMPC_OFD_020_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6120760,1.0,Late adult,Irx6,abnormal liver morphology,0.0,Liver,KMPCLA_PAT_010_002,KMPC,Supplied as data,['liver/biliary system phenotype']
MGI:6156344,0.497832369942197,Early adult,Qsox1,abnormal auditory brainstem response,9.17875401781154e-05,18kHz-evoked ABR Threshold,IMPC_ABR_008_001,KMPC,Reference Range Plus Test framework; quantile = 0.95 (Tails probability = 0.025),['hearing/vestibular/ear phenotype']
MGI:6727864,1.0,E9.5,Dapk3,abnormal embryo size,0.0,Embryo Size,IMPC_GEL_032_001,KMPC,Supplied as data,"['embryo phenotype', 'growth/size/body region phenotype']"
MGI:6306609,,Early adult,Spry4,abnormal digit morphology,1.47930355217174e-09,Digit integrity,IMPC_XRY_031_001,KMPC,Fisher Exact Test framework,['limbs/digits/tail phenotype']
MGI:7425738,1.0,E18.5,Hdac2,unresponsive to tactile stimuli,0.0,Responsive to tactile stimuli,IMPC_GEP_005_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6336148,2.5480815246611,Early adult,Tspan13,abnormal behavior,1.87474046616866e-06,Percentage center time,IMPC_OFD_022_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6120711,2.09897407948142,Early adult,Npas3,increased startle reflex,9.66278343913456e-05,Response amplitude - S,IMPC_ACS_006_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6509076,1.0,E12.5,Hdac7,embryonic lethality prior to tooth bud stage,0.0,Outcome,IMPC_EVM_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:6336112,1.0,E18.5,Cep128,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6729666,-1.85458388827129,Late adult,Zfp746,decreased bone mineral density,4.76397325523535e-07,Bone Mineral Density (excluding skull),KMPCLA_DXA_004_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, not including Weight",['skeleton phenotype']
MGI:6156346,1.0,E18.5,Slc25a1,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6120719,-1.79835657159436,Early adult,Phgdh,decreased fluid intake,3.12297515579453e-05,Total water intake,IMPC_CAL_021_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6336134,3.56296256941695,Late adult,Slc24a3,increased mean platelet volume,4.9890098013525e-07,Mean platelet volume,KMPCLA_HEM_019_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['hematopoietic system phenotype']
MGI:6156285,,Late adult,Emd,enhanced cued conditioning behavior,8.86255963197247e-05,Difference in Cue Tone and Cue Baseline % Freezing,KMPCLA_FEA_106_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6306609,2.27927839986224,Early adult,Spry4,hyperactivity,5.63139682457408e-05,Distance travelled - total,IMPC_OFD_020_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6336129,2.41232307393118,Early adult,Pitpnc1,increased circulating serum albumin level,8.83116193753649e-05,Albumin,IMPC_CBC_007_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['homeostasis/metabolism phenotype']
MGI:6454973,1.0,E18.5,Cyb5b,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6256796,1.61857941638112,Early adult,Tmem72,increased grip strength,5.05096802045687e-07,Forelimb grip strength normalised against body weight,IMPC_GRS_010_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6160166,1.04596373879904,Late adult,E2f3,increased lean body mass,4.0670342847332e-05,Lean/Body weight,KMPCLA_DXA_008_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, not including Weight",['growth/size/body region phenotype']
MGI:6341961,2.71737617922182,Late adult,Ik,increased grip strength,8.77888087826253e-05,Forelimb grip strength normalised against body weight,KMPCLA_GRS_010_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6120719,1.0,E15.5,Phgdh,embryonic growth retardation,0.0,Delayed embryonic development,IMPC_GEO_069_001,KMPC,Supplied as data,"['embryo phenotype', 'growth/size/body region phenotype']"
MGI:6336141,1.0,E18.5,Tmem132e,unresponsive to tactile stimuli,0.0,Responsive to tactile stimuli,IMPC_GEP_005_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6729666,1.0,Late adult,Zfp746,enlarged seminal vesicle,0.0,Seminal vesicle,KMPCLA_PAT_027_002,KMPC,Supplied as data,"['reproductive system phenotype', 'endocrine/exocrine gland phenotype']"
MGI:6120719,1.0,E12.5,Phgdh,edema,0.0,Edema,IMPC_GEM_076_001,KMPC,Supplied as data,['homeostasis/metabolism phenotype']
MGI:6156335,-2.99787993083406,Early adult,Myc,decreased body length,4.81028162245854e-07,Body length,IMPC_DXA_006_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['growth/size/body region phenotype']
MGI:6336122,-0.960132612780236,Late adult,Letmd1,decreased startle reflex,1.54960974077844e-05,Response amplitude - S,KMPCLA_ACS_006_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, including Weight",['behavior/neurological phenotype']
MGI:6156329,2.37036030720605,Late adult,Mir129-2,impaired glucose tolerance,6.96159169687383e-06,Area under glucose response curve,KMPCLA_IPG_012_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['homeostasis/metabolism phenotype']
MGI:6156271,1.03115647211715,Early adult,Cav2,increased circulating alanine transaminase level,1.18753804333654e-06,Alanine aminotransferase,IMPC_CBC_013_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, not including Weight",['homeostasis/metabolism phenotype']
MGI:6156296,1.0,Late adult,Itgbl1,abnormal seminal vesicle morphology,0.0,Seminal vesicle,KMPCLA_PAT_027_002,KMPC,Supplied as data,"['reproductive system phenotype', 'endocrine/exocrine gland phenotype']"
MGI:6729666,0.476295577783526,Early adult,Zfp746,increased total body fat amount,1.57031063172328e-13,Fat mass,IMPC_DXA_002_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, including Weight",['adipose tissue phenotype']
MGI:6156329,-2.0328746886044,Late adult,Mir129-2,decreased grip strength,1.3191742560737e-08,Forelimb and hindlimb grip strength normalised against body weight,KMPCLA_GRS_011_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6336122,,Late adult,Letmd1,decreased bone mineral density,1.19294260775022e-05,Bone Mineral Density (excluding skull),KMPCLA_DXA_004_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, including Weight",['skeleton phenotype']
MGI:6120719,1.0,E12.5,Phgdh,embryonic growth retardation,0.0,Delayed embryonic development,IMPC_GEM_075_001,KMPC,Supplied as data,"['embryo phenotype', 'growth/size/body region phenotype']"
MGI:6156326,,Early adult,Lingo2,decreased total body fat amount,8.42658615107827e-07,Fat mass,IMPC_DXA_002_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['adipose tissue phenotype']
MGI:6336109,,Late adult,Ak4,abnormal coat/hair pigmentation,1.71981308934874e-08,Coat - color pattern - back,KMPCLA_CSD_008_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6162234,1.0,E18.5,Edem3,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:5776369,-8.01438543831026,Early adult,Asb2,increased Ly6C-positive mature NK cell number,2.36429437433974e-05,NK Subsets (Q4),IMPC_IMM_057_001,KMPC,"Linear Mixed Model framework, LME, not including Weight","['immune system phenotype', 'hematopoietic system phenotype']"
MGI:6156346,1.0,E18.5,Slc25a1,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6156284,1.4869446575041,Early adult,Cxcl5,hyperactivity,3.21466449509922e-05,Distance travelled - total,IMPC_OFD_020_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6120711,1.0,E18.5,Npas3,unresponsive to tactile stimuli,0.0,Responsive to tactile stimuli,IMPC_GEP_005_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:5776369,1.0,E9.5,Asb2,pale yolk sac,0.0,Pale yolk sac,IMPC_GEL_017_002,KMPC,Supplied as data,['embryo phenotype']
MGI:6256796,2.32527146796647,Early adult,Tmem72,increased hematocrit,7.56884291367595e-05,Hematocrit,IMPC_HEM_004_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['hematopoietic system phenotype']
MGI:6306609,-3.4169990864214,Early adult,Spry4,decreased fasting circulating glucose level,1.50997560312494e-12,Fasted blood glucose concentration,IMPC_IPG_010_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['homeostasis/metabolism phenotype']
MGI:6336134,,Late adult,Slc24a3,abnormal coat/hair pigmentation,1.48783830055286e-07,Coat - color pattern - back,KMPCLA_CSD_008_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6120760,1.0,Late adult,Irx6,abnormal seminal vesicle morphology,0.0,Seminal vesicle,KMPCLA_PAT_027_002,KMPC,Supplied as data,"['reproductive system phenotype', 'endocrine/exocrine gland phenotype']"
MGI:7425738,1.0,Early adult,Hdac2,"preweaning lethality, complete penetrance",0.0,Homozygous females viability,IMPC_VIA_064_001,KMPC,Supplied as data,['mortality/aging']
MGI:6336134,1.79609416974787,Early adult,Slc24a3,increased grip strength,1.10784602653791e-05,Forelimb grip strength normalised against body weight,IMPC_GRS_010_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6156314,4.26543259714909,Early adult,Lgr5,"increased CD4-negative, CD25-positive NK T cell number",5.94672305319621e-05,DN CD25+ NKT cells,IMPC_IMM_024_001,KMPC,"Linear Mixed Model framework, LME, not including Weight","['immune system phenotype', 'hematopoietic system phenotype']"
MGI:6306609,-3.5539477945583,Early adult,Spry4,decreased grip strength,9.28385754629806e-11,Forelimb and hindlimb grip strength measurement mean,IMPC_GRS_009_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6729665,2.53903765974609,Early adult,Rtp4,hyperactivity,8.44773576222922e-09,Distance travelled - total,IMPC_OFD_020_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6336143,1.0,E18.5,Tmem17,unresponsive to tactile stimuli,0.0,Responsive to tactile stimuli,IMPC_GEP_005_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6336142,-1.8195041901451,Early adult,Ldaf1,hyperactivity,1.11559652498094e-05,Whole arena resting time,IMPC_OFD_007_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:7425738,1.0,Early adult,Hdac2,"preweaning lethality, complete penetrance",0.0,Homozygous males viability,IMPC_VIA_063_001,KMPC,Supplied as data,['mortality/aging']
MGI:6336108,2.70588130829929,Late adult,Afg1l,hyperactivity,1.05674223484966e-06,Whole arena average speed,KMPCLA_OFD_009_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6336139,1.0,Early adult,Thsd7b,"preweaning lethality, incomplete penetrance",,Homozygous females viability,IMPC_VIA_064_001,KMPC,Supplied as data,['mortality/aging']
MGI:6156329,,Late adult,Mir129-2,abnormal vertebral arch morphology,2.03367558181372e-05,Processes on vertebrae,KMPCLA_XRY_020_001,KMPC,Fisher Exact Test framework,['skeleton phenotype']
MGI:6729666,,Late adult,Zfp746,abnormal coat/hair pigmentation,3.00187375397837e-05,Coat - color - back,KMPCLA_CSD_005_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:7461419,-1.83631137461308,Early adult,Ano4,decreased bone mineral content,5.47015353708195e-06,BMC/Body weight,IMPC_DXA_007_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['skeleton phenotype']
MGI:6156314,1.0,Early adult,Lgr5,"preweaning lethality, complete penetrance",0.0,Viability Outcome,IMPC_VIA_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:6156335,-0.739220899965818,Early adult,Myc,decreased fluid intake,7.198398309034e-05,Total water intake,IMPC_CAL_021_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, including Weight",['behavior/neurological phenotype']
MGI:6156300,,Late adult,Krt35,abnormal coat/hair pigmentation,1.29841895618721e-05,Coat - color - back,KMPCLA_CSD_005_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6336109,-0.570649903630111,Early adult,Ak4,decreased bone mineral content,3.97735705190971e-05,BMC/Body weight,IMPC_DXA_007_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['skeleton phenotype']
MGI:7425879,-0.682944140021538,Late adult,Nsg2,hyperactivity,5.20710230111909e-06,Whole arena resting time,KMPCLA_OFD_007_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6336129,1.43484561929473,Late adult,Pitpnc1,increased bone mineral density,5.79087228548887e-05,Bone Mineral Density (excluding skull),KMPCLA_DXA_004_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, not including Weight",['skeleton phenotype']
MGI:6156345,1.0,E9.5,Romo1,pale yolk sac,0.0,Pale yolk sac,IMPC_GEL_017_002,KMPC,Supplied as data,['embryo phenotype']
MGI:6156328,,Early adult,Mir100,abnormal coat/hair pigmentation,6.03611992190151e-07,Coat - color - back,IMPC_CSD_005_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6336110,1.0,E18.5,Ammecr1l,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
